BDE,BN,UIC,CO,PLT,SEC,SQD,Position,PARA,LIN,PERSID,,BDE,BN,UIC,CO,PLT,SEC,SQD,Position,PARA,LIN,PERSID
2CR,2CRHQ,WAL0AA,HHT,,,,Intelligence Master Sergeant (MSG),102,,,,2CR,FAS2CR,WAK5AA,T,,,,Chemical Biological Radiological Nuclear (CBRN) Officer,103,,
2CR,2CRHQ,WAL0AA,HHT,,,,Assistant Operations Sergeant,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Operations Sergeant,103,,
2CR,2CRHQ,WAL0AA,HHT,,,,Operations Assistant,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Operations Sergeant/Master Gunner,103,,
2CR,2CRHQ,WAL0AA,HHT,,,,Liaison Officer,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Chemical Biological Radiological Nuclear (CBRN) Non-commissioned Officer (NCO),103,,
2CR,2CRHQ,WAL0AA,HHT,,,,Air Force Staff Officer,104,,,,2CR,FAS2CR,WAK5AA,T,,,,Tactical Data System Operator,103,,
2CR,2CRHQ,WAL0AA,HHT,,,,#1 Air Force Staff Non-commissioned Officer (NCO),104,,,,2CR,FAS2CR,WAK5AA,T,,,,Tactical Data System Operator,103,,
2CR,2CRHQ,WAL0AA,HHT,,,,#2 Air Force Staff Non-commissioned Officer (NCO),104,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Direction Officer,104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Interim Armored Vehicle (IAV) Driver,104,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Control Non-commissioned Officer (NCO),104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Interim Armored Vehicle (IAV) Commander,104,,,,2CR,FAS2CR,WAK5AA,T,,,,Senior Fire Control Non-commissioned Officer (NCO),104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Human Intelligence Collection Technician,105,,,,2CR,FAS2CR,WAK5AA,T,,,,#1 Tactical Data System Operator,104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Team Chief,105,,,,2CR,FAS2CR,WAK5AA,T,,,,#2 Tactical Data System Operator,104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Counter Intelligence (CI) Agent,105,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Control Sergeant,104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Geospatial Engineer Technician,105,,,,2CR,FAS2CR,WAK5AA,T,,,,#3 Tactical Data System Operator,104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Geospatial Engineer Sergeant,105,,,,2CR,FAS2CR,WAK5AA,T,,,,Tactical Data System Operator,104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Geospatial Engineer Sergeant,105,,,,2CR,FAS2CR,WAK5AA,T,,,,Tactical Data System Operator,104,,
2CR,2CRHQ,WAL0AA,HHT,,,,Imagery Analyst,105,,,,2CR,FAS2CR,WAK5AA,T,,,,Brigade Fire Support (FS) Coordinator,105,,
2CR,2CRHQ,WAL0AA,HHT,,,,Geospatial Engineer,105,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Control Officer,105,,
2CR,2CRHQ,WAL0AA,HHT,,,,#1 Plans Officer,106,,,,2CR,FAS2CR,WAK5AA,T,,,,Assistant Fire Support Officer (FSO),106,,
2CR,2CRHQ,WAL0AA,HHT,,,,Logistics Officer,106,,,,2CR,FAS2CR,WAK5AA,T,,,,Targeting Officer,106,,
2CR,2CRHQ,WAL0AA,HHT,,,,#2 Plans Officer,106,,,,2CR,FAS2CR,WAK5AA,T,,,,Operations Sergeant,106,,
2CR,2CRHQ,WAL0AA,HHT,,,,Assistant Operations Sergeant,106,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,106,,
2CR,2CRHQ,WAL0AA,HHT,,,,Intelligence Sergeant,106,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,106,,
2CR,2CRHQ,WAL0AA,HHT,,,,Operational Law (OPLAW) Judge Advocate (JA),107,,,,2CR,FAS2CR,WAK5AA,T,,,,Targeting Non-commissioned Officer (NCO),106,,
2CR,2CRHQ,WAL0AA,HHT,,,,Trial Counsel,107,,,,2CR,FAS2CR,WAK5AA,T,,,,Assistant Fire Support Officer (FSO),107,,
2CR,2CRHQ,WAL0AA,HHT,,,,Signals Intelligence (SIGINT) Support Officer,107,,,,2CR,FAS2CR,WAK5AA,T,,,,Field Artillery (FA) Intelligence Officer,107,,
2CR,2CRHQ,WAL0AA,HHT,,,,Civil Affairs (CA) Officer,107,,,,2CR,FAS2CR,WAK5AA,T,,,,Targeting/Electronic Warfare (EW) Non-commissioned Officer (NCO),107,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Paralegal Non-commissioned Officer (NCO),107,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,107,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Psychological Operations (PSYOP) Sergeant,107,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,107,,
2CR,2CRHQ,WAL0AA,HHT,,,,Team Leader,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Aviation Officer,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Assistant Fire Support Officer (FSO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Air Defense (AD) Coordination/Management Officer,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Non-commissioned Officer (NCO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Battle System Operator,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Targeting Non-commissioned Officer (NCO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Assistant Aviation Officer,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Aviation Mission Survivability Officer (AMSO),108,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Command and Control (C2) System Integrator,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Section Sergeant,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Aviation Operations Sergeant,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Unmanned Aircraft System (UAS) Operations Officer,108,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Public Affairs (PA) Mass Communications Non-commissioned Officer (NCO),109,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Operations Officer,110,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Chemical Biological Radiological Nuclear (CBRN) Non-commissioned Officer (NCO),110,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#1 Assistant Operations Sergeant,110,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#2 Assistant Operations Sergeant,110,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Provost Marshal (PM),111,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Operations Non-commissioned Officer (NCO),111,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Strength Manager,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Human Resources (HR) Technician,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Human Resources Sergeant,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#1 Human Resources Sergeant,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#2 Human Resources Sergeant,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#1 Human Resources Specialist,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#2 Human Resources Specialist,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Human Resources Specialist,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#3 Human Resources Specialist,112,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,S4/Logistics Staff Officer,113,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Field Surgeon,113,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Medical Operations Officer,113,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Mobility Officer,113,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,PROPERTY BOOK OFFICER,113,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Food Advisor,113,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Culinary Management Non-commissioned Officer (NCO),113,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Supply Sergeant,113,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Property Book Non-commissioned Officer (NCO),113,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Health Care (HC) Non-commissioned Officer (NCO),113,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Transportation Logistics Non-commissioned Officer (NCO),113,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Property Book Non-commissioned Officer (NCO),113,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Financial Management Officer,114,,,,2CR,FAS2CR,WAK5AA,T,,,,Assistant Fire Support Officer (FSO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Finance Management Manager,114,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Non-commissioned Officer (NCO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Chaplain,115,,,,2CR,FAS2CR,WAK5AA,T,,,,Targeting Non-commissioned Officer (NCO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Religious Affairs Non-commissioned Officer (NCO),115,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Signal Support Systems Chief,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Communication Staff Officer,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Network Systems Technician,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Electromagnetic Spectrum Manager,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Transmission System Operations Non-commissioned Officer (NCO),116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Satellite Communication (SATCOM) Operations Non-commissioned Officer (NCO),116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Information Technical Specialist,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Nodal Network System Operations Non-commissioned Officer (NCO),116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Network Defense Tech,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Information Assurance (IA) Staff Noncommissioned Officer (NCO),116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Alternate Communcations Security (COMSEC) Account Manager,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Communication Security (COMSEC) Account Manager,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Information Technician Specialist,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Information System Technician,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Infrastructure Support,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Cable Systems Installation-Maintainer,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#1 Information Technician Specialist,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#2 Information Technician Specialist,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Information Technician (IT) Staff Non-commissioned Officer (NCO),116,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Signal Support Systems Specialist,116,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,S3/Operations Staff Officer,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Interim Armored Vehicle (IAV) Driver,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Brigade Engineer Officer,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Intelligence Officer,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Chemical Biological Radiological Nuclear (CBRN) Officer,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Assistant S2,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Operations Sergeant,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Assistant Operations Sergeant,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Electromagnetic Spectrum Non-commissioned Officer (NCO),117,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Electronic Warfare (EW) Specialist,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Electronic Warfare (EW) Specialist,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Cyber Electromagnetic Activities (CEMA) Sergeant,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Cyber Electromagnetic Activities NCOIC,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Electronic Warfare (EW) Sergeant,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Assistant Fire Support Officer (FSO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,#1 Cyber-Electronic Warfare (EW) Officer,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Non-commissioned Officer (NCO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,#2 Cyber-Electronic Warfare (EW) Officer,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Targeting Non-commissioned Officer (NCO),108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Cyber Warfare Officer,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Electronic Warfare (EW) Technician,117,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,Air Force Staff Officer,118,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,108,,
2CR,2CRHQ,WAL0AA,HHT,,,,#1 Air Force Staff Non-commissioned Officer (NCO),118,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,#2 Air Force Staff Non-commissioned Officer (NCO),118,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Interim Armored Vehicle (IAV) Driver,118,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Interim Armored Vehicle (IAV) Commander,118,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,All Source Intelligence Technician,119,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Senior Intelligence Sergeant,119,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Intelligence Analyst,119,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Intelligence Analyst,119,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Assistant S4,120,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Signal Support Systems Maintainer,121,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Information Systems Engineer,121,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Network Operations Chief,121,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Information Technician Specialist,121,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Commander,122,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Executive Officer (XO),122,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,First Sergeant (1SG),122,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Supply Specialist,122,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Supply Sergeant,122,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,2CRHQ,WAL0AA,HHT,,,,Supply Specialist,122,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,Commander,101,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,Interim Armored Vehicle (IAV) Commander,101,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,Interim Armored Vehicle (IAV) Driver,101,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,Vehicle Driver,101,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,#1 Radiotelephone Operator (RATELO),101,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,Executive Officer (XO),101,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,#2 Radiotelephone Operator (RATELO),101,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,Command Sergeant Major (CSM),101,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,1SQN2CR,WASFAA,T,H,N/A,H,Rifleman,101,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,1SQN2CR,WASFAA,T,2,N/A,I,S2/Intelligence Staff Officer,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Forward Observer,109,,
2CR,1SQN2CR,WASFAA,T,2,N/A,I,Intelligence Analyst,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,109,,
2CR,1SQN2CR,WASFAA,T,2,N/A,I,Tactical Intelligence Officer,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,110,,
2CR,1SQN2CR,WASFAA,T,2,N/A,I,Intelligence Sergeant,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,110,,
2CR,1SQN2CR,WASFAA,T,2,N/A,I,#1 Intelligence Analyst,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,110,,
2CR,1SQN2CR,WASFAA,T,2,N/A,I,#2 Intelligence Analyst,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,110,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,S3/Operations Staff Officer,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,111,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,Interim Armored Vehicle (IAV) Commander,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Assistant Fire Support Officer (FSO),111,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,Interim Armored Vehicle (IAV) Driver,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Non-commissioned Officer (NCO),111,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,Vehicle Driver,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Targeting Non-commissioned Officer (NCO),111,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,Operations Sergeant,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,111,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,#1 Assistant S3,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,111,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,#2 Assistant S3,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,111,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,Chemical Biological Radiological Nuclear (CBRN) Officer,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Officer,112,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,#1 Assistant Operations Sergeant,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Sergeant,112,,
2CR,1SQN2CR,WASFAA,T,3,N/A,H,#2 Assistant Operations Sergeant,103,,,,2CR,FAS2CR,WAK5AA,T,,,,Fire Support Specialist,112,,
